flightid,lat,lon,flightlevel,speed,dt_radar,dt_radar_formated
a0a06bda4afb87d6f0b597f264e1508f,-0.5129034359,-0.8849009324,251.0,416,1672532281000,"Saturday, December 31, 2022 09:18:01"
a0a06bda4afb87d6f0b597f264e1508f,-0.4371924812,-0.8456236447,390.0,501,1672534324000,"Saturday, December 31, 2022 09:52:04"
a0a06bda4afb87d6f0b597f264e1508f,-0.4660808756,-0.8602299882,390.0,507,1672533546000,"Saturday, December 31, 2022 09:39:06"
a0a06bda4afb87d6f0b597f264e1508f,-0.4639690175,-0.8591487344,390.0,508,1672533602000,"Saturday, December 31, 2022 09:40:02"
a0a06bda4afb87d6f0b597f264e1508f,-0.493151507,-0.8743234811,387.0,515,1672532820000,"Saturday, December 31, 2022 09:27:00"
a0a06bda4afb87d6f0b597f264e1508f,-0.4351245183,-0.8445982419,390.0,501,1672534381000,"Saturday, December 31, 2022 09:53:01"
a0a06bda4afb87d6f0b597f264e1508f,-0.4954314067,-0.8755394446,375.0,513,1672532760000,"Saturday, December 31, 2022 09:26:00"
a0a06bda4afb87d6f0b597f264e1508f,-0.4349783796,-0.8445278471,390.0,501,1672534385000,"Saturday, December 31, 2022 09:53:05"
a0a06bda4afb87d6f0b597f264e1508f,-0.5087215587,-0.8826437109,290.0,460,1672532406000,"Saturday, December 31, 2022 09:20:06"
a0a06bda4afb87d6f0b597f264e1508f,-0.4819687133,-0.868452464,390.0,507,1672533121000,"Saturday, December 31, 2022 09:32:01"
a0a06bda4afb87d6f0b597f264e1508f,-0.4864319014,-0.8707903921,390.0,508,1672533000000,"Saturday, December 31, 2022 09:30:00"
a0a06bda4afb87d6f0b597f264e1508f,-0.4329197739,-0.8435041132,390.0,501,1672534441000,"Saturday, December 31, 2022 09:54:01"
a0a06bda4afb87d6f0b597f264e1508f,-0.5088311031,-0.8826955681,289.0,459,1672532402000,"Saturday, December 31, 2022 09:20:02"
a0a06bda4afb87d6f0b597f264e1508f,-0.4327657681,-0.8434303805,390.0,501,1672534445000,"Saturday, December 31, 2022 09:54:05"
a0a06bda4afb87d6f0b597f264e1508f,-0.4308549102,-0.8424892606,390.0,501,1672534501000,"Saturday, December 31, 2022 09:55:01"
a0a06bda4afb87d6f0b597f264e1508f,-0.5234635014,-0.8922536963,19.0,151,1672531803000,"Saturday, December 31, 2022 09:10:03"
a0a06bda4afb87d6f0b597f264e1508f,-0.4305557193,-0.8423437622,390.0,501,1672534505000,"Saturday, December 31, 2022 09:55:05"
a0a06bda4afb87d6f0b597f264e1508f,-0.4818219191,-0.8683657968,390.0,507,1672533125000,"Saturday, December 31, 2022 09:32:05"
a0a06bda4afb87d6f0b597f264e1508f,-0.4638251436,-0.859075717,390.0,508,1672533606000,"Saturday, December 31, 2022 09:40:06"
a0a06bda4afb87d6f0b597f264e1508f,-0.4617155205,-0.8579961918,390.0,509,1672533663000,"Saturday, December 31, 2022 09:41:03"
a0a06bda4afb87d6f0b597f264e1508f,-0.428507037,-0.8413290884,390.0,499,1672534561000,"Saturday, December 31, 2022 09:56:01"
a0a06bda4afb87d6f0b597f264e1508f,-0.4283578289,-0.8412529715,390.0,499,1672534565000,"Saturday, December 31, 2022 09:56:05"
a0a06bda4afb87d6f0b597f264e1508f,-0.4262950214,-0.8402426489,390.0,497,1672534621000,"Saturday, December 31, 2022 09:57:01"
a0a06bda4afb87d6f0b597f264e1508f,-0.4886679059,-0.8719617106,390.0,510,1672532940000,"Saturday, December 31, 2022 09:29:00"
a0a06bda4afb87d6f0b597f264e1508f,-0.5180700205,-0.8877127882,183.0,339,1672532104000,"Saturday, December 31, 2022 09:15:04"
a0a06bda4afb87d6f0b597f264e1508f,-0.4594712019,-0.8568447221,390.0,510,1672533723000,"Saturday, December 31, 2022 09:42:03"
a0a06bda4afb87d6f0b597f264e1508f,-0.426146171,-0.8401652803,390.0,498,1672534625000,"Saturday, December 31, 2022 09:57:05"
a0a06bda4afb87d6f0b597f264e1508f,-0.4241025546,-0.8391607395,383.0,497,1672534682000,"Saturday, December 31, 2022 09:58:02"
a0a06bda4afb87d6f0b597f264e1508f,-0.4239532274,-0.8390844438,381.0,497,1672534686000,"Saturday, December 31, 2022 09:58:06"
a0a06bda4afb87d6f0b597f264e1508f,-0.5020891178,-0.8790856469,337.0,506,1672532583000,"Saturday, December 31, 2022 09:23:03"
a0a06bda4afb87d6f0b597f264e1508f,-0.5211072842,-0.8893726379,113.0,299,1672531983000,"Saturday, December 31, 2022 09:13:03"
a0a06bda4afb87d6f0b597f264e1508f,-0.4217812629,-0.8380190452,354.0,496,1672534742000,"Saturday, December 31, 2022 09:59:02"
a0a06bda4afb87d6f0b597f264e1508f,-0.4217812629,-0.8380190452,355.0,497,1672534746000,"Saturday, December 31, 2022 09:59:06"
a0a06bda4afb87d6f0b597f264e1508f,-0.4907539275,-0.8730533954,390.0,514,1672532884000,"Saturday, December 31, 2022 09:28:04"
a0a06bda4afb87d6f0b597f264e1508f,-0.5196197933,-0.8885682542,152.0,331,1672532044000,"Saturday, December 31, 2022 09:14:04"
a0a06bda4afb87d6f0b597f264e1508f,-0.4885191449,-0.8718740301,390.0,509,1672532944000,"Saturday, December 31, 2022 09:29:04"
a0a06bda4afb87d6f0b597f264e1508f,-0.5043359098,-0.8802824172,322.0,498,1672532523000,"Saturday, December 31, 2022 09:22:03"
a0a06bda4afb87d6f0b597f264e1508f,-0.454997703,-0.8545650291,390.0,505,1672533843000,"Saturday, December 31, 2022 09:44:03"
a0a06bda4afb87d6f0b597f264e1508f,-0.4572225623,-0.8557002264,390.0,507,1672533783000,"Saturday, December 31, 2022 09:43:03"
a0a06bda4afb87d6f0b597f264e1508f,-0.4909036124,-0.8731416124,390.0,514,1672532880000,"Saturday, December 31, 2022 09:28:00"
a0a06bda4afb87d6f0b597f264e1508f,-0.4930007792,-0.8742371716,388.0,515,1672532824000,"Saturday, December 31, 2022 09:27:04"
a0a06bda4afb87d6f0b597f264e1508f,-0.4527684333,-0.8534282226,390.0,502,1672533903000,"Saturday, December 31, 2022 09:45:03"
a0a06bda4afb87d6f0b597f264e1508f,-0.5065555244,-0.8814779357,306.0,481,1672532462000,"Saturday, December 31, 2022 09:21:02"
a0a06bda4afb87d6f0b597f264e1508f,-0.4862821868,-0.8707080761,390.0,508,1672533004000,"Saturday, December 31, 2022 09:30:04"
a0a06bda4afb87d6f0b597f264e1508f,-0.4505325182,-0.8522944559,390.0,505,1672533963000,"Saturday, December 31, 2022 09:46:03"
a0a06bda4afb87d6f0b597f264e1508f,-0.4997978048,-0.877857047,353.0,511,1672532643000,"Saturday, December 31, 2022 09:24:03"
a0a06bda4afb87d6f0b597f264e1508f,-0.4795872258,-0.8672056842,390.0,506,1672533185000,"Saturday, December 31, 2022 09:33:05"
a0a06bda4afb87d6f0b597f264e1508f,-0.484202453,-0.869614782,390.0,507,1672533060000,"Saturday, December 31, 2022 09:31:00"
a0a06bda4afb87d6f0b597f264e1508f,-0.5128070035,-0.8848532476,253.0,419,1672532285000,"Saturday, December 31, 2022 09:18:05"
a0a06bda4afb87d6f0b597f264e1508f,-0.5108056433,-0.8837658544,274.0,443,1672532345000,"Saturday, December 31, 2022 09:19:05"
a0a06bda4afb87d6f0b597f264e1508f,-0.484202453,-0.869614782,390.0,507,1672533064000,"Saturday, December 31, 2022 09:31:04"
a0a06bda4afb87d6f0b597f264e1508f,-0.5165502861,-0.8868790188,207.0,362,1672532164000,"Saturday, December 31, 2022 09:16:04"
a0a06bda4afb87d6f0b597f264e1508f,-0.5063725531,-0.8813689759,307.0,481,1672532466000,"Saturday, December 31, 2022 09:21:06"
a0a06bda4afb87d6f0b597f264e1508f,-0.5165502861,-0.8868790188,207.0,362,1672532160000,"Saturday, December 31, 2022 09:16:00"
a0a06bda4afb87d6f0b597f264e1508f,-0.514936384,-0.8860106182,231.0,385,1672532221000,"Saturday, December 31, 2022 09:17:01"
a0a06bda4afb87d6f0b597f264e1508f,-0.4484630951,-0.8512496214,390.0,504,1672534020000,"Saturday, December 31, 2022 09:47:00"
a0a06bda4afb87d6f0b597f264e1508f,-0.5181791477,-0.8877706657,181.0,339,1672532100000,"Saturday, December 31, 2022 09:15:00"
a0a06bda4afb87d6f0b597f264e1508f,-0.5224336771,-0.8900984608,82.0,283,1672531923000,"Saturday, December 31, 2022 09:12:03"
a0a06bda4afb87d6f0b597f264e1508f,-0.4483118905,-0.8511741005,390.0,504,1672534024000,"Saturday, December 31, 2022 09:47:04"
a0a06bda4afb87d6f0b597f264e1508f,-0.5234912749,-0.8910708143,42.0,229,1672531863000,"Saturday, December 31, 2022 09:11:03"
a0a06bda4afb87d6f0b597f264e1508f,-0.4753140715,-0.8649874451,390.0,502,1672533301000,"Saturday, December 31, 2022 09:35:01"
a0a06bda4afb87d6f0b597f264e1508f,-0.4751648337,-0.8649077518,390.0,502,1672533305000,"Saturday, December 31, 2022 09:35:05"
a0a06bda4afb87d6f0b597f264e1508f,-0.4731466068,-0.8638657784,390.0,502,1672533361000,"Saturday, December 31, 2022 09:36:01"
a0a06bda4afb87d6f0b597f264e1508f,-0.5197164641,-0.8886171312,150.0,331,1672532040000,"Saturday, December 31, 2022 09:14:00"
a0a06bda4afb87d6f0b597f264e1508f,-0.4729897998,-0.8637880521,390.0,502,1672533365000,"Saturday, December 31, 2022 09:36:05"
