hora,nova_cabeceira,antiga_cabeceira,aero,hora_formated
1654092843000,32,03,FL,"Wednesday, June 01, 2022 11:14:03"
1654109470000,18,12,RF,"Wednesday, June 01, 2022 03:51:10"
1654110745000,16,13,CF,"Wednesday, June 01, 2022 04:12:25"
1654110758000,15,26,GL,"Wednesday, June 01, 2022 04:12:38"
1654110777000,15,26,GL,"Wednesday, June 01, 2022 04:12:57"
1654112774000,21,32,FL,"Wednesday, June 01, 2022 04:46:14"
1654113020000,32,21,FL,"Wednesday, June 01, 2022 04:50:20"
1654113022000,16,13,CF,"Wednesday, June 01, 2022 04:50:22"
1654113542000,17,10,SV,"Wednesday, June 01, 2022 04:59:02"
1654113548000,16,13,CF,"Wednesday, June 01, 2022 04:59:08"
1654113801000,10,17,SV,"Wednesday, June 01, 2022 05:03:21"
1654114186000,17,10,SV,"Wednesday, June 01, 2022 05:09:46"
1654114407000,14,32,FL,"Wednesday, June 01, 2022 05:13:27"
1654114538000,16,13,CF,"Wednesday, June 01, 2022 05:15:38"
1654117218000,15,21,GL,"Wednesday, June 01, 2022 06:00:18"
1654118442000,10,17,SV,"Wednesday, June 01, 2022 06:20:42"
1654119380000,17,10,SV,"Wednesday, June 01, 2022 06:36:20"
1654119856000,15,13,GL,"Wednesday, June 01, 2022 06:44:16"
1654119906000,10,17,SV,"Wednesday, June 01, 2022 06:45:06"
1654121731000,15,33,KP,"Wednesday, June 01, 2022 07:15:31"
1654043422000,10,17,SV,"Tuesday, May 31, 2022 09:30:22"
1654043869000,21,14,FL,"Tuesday, May 31, 2022 09:37:49"
1654044589000,14,21,FL,"Tuesday, May 31, 2022 09:49:49"
1654056274000,18,15,RF,"Wednesday, June 01, 2022 01:04:34"
1654075382000,02R,20L,RJ,"Wednesday, June 01, 2022 06:23:02"
1654075845000,02R,08,RJ,"Wednesday, June 01, 2022 06:30:45"
1654076864000,15,02R,GL,"Wednesday, June 01, 2022 06:47:44"
1654078891000,15,26,GL,"Wednesday, June 01, 2022 07:21:31"
1654079398000,32,14,FL,"Wednesday, June 01, 2022 07:29:58"
1654079940000,15,21,GL,"Wednesday, June 01, 2022 07:39:00"
